Manufacturer,Typecode,nd,vd,"P_g,F","d_Pg,F"
Ohara,S-LAH58,1.883,40.8,0.5667,-0.0088
Hoya,M-TAFD307,1.882,37.22,0.577037,-0.0044
Hoya,TaFD33,1.881,40.14,0.570647,-0.006
Hoya,TaFD32,1.8707,40.73,0.568554,-0.0068
Hoya,FDS20-W,1.8697,20.02,0.643416,0.0312
Ohara,L-LAH94,1.861,37.1,0.5785,-0.0029
Hikari,J-SFH2,1.8607,23.08,0.6258,0.0202
Ohara,S-NPH5,1.859,22.7,0.6284,0.0237
Hoya,NbFD30,1.8588,30,0.597974,0.0036
Ohara,S-NBH56,1.8548,24.8,0.6122,0.0109
Hoya,NbFD25,1.8545,25.16,0.610244,0.0073
Ohara,L-LAH85V,1.854,40.38,0.5688,-0.0073
Ohara,S-LAH89,1.8515,40.8,0.5695,-0.006
Hoya,M-TAFD305,1.8514,40.1,0.569477,-0.0067
Hikari,Q-LASFH58S,1.8511,40.12,0.5685,-0.0085
Hikari,J-LASF021,1.8503,32.35,0.5947,0.0046
Ohara,S-LAH71,1.8503,32.3,0.5929,0.0036
Ohara,S-NBH57,1.8503,30,0.5979,0.0051
Hikari,J-LASFH23,1.85,27.03,0.6093,0.0103
Hikari,J-LASFH22,1.8485,43.79,0.562,-0.0089
Hoya,FDS90,1.8467,23.79,0.619101,0.0137
Ohara,S-TIH53,1.8467,23.8,0.6205,0.0175
Hikari,J-SF03,1.8467,23.8,0.6215,0.0171
Hoya,FDS90(P),1.8467,23.88,0.619007,0.0137
Hoya,TaFD5G,1.8348,42.72,0.564995,-0.0067
Hoya,TaFD5F,1.8348,42.72,0.564995,-0.0064
Hikari,J-LASF05,1.8348,42.73,0.5648,-0.0079
Ohara,S-LAH55V,1.8348,42.7,0.5648,-0.0075
Hoya,M-NBFD10,1.8344,37.29,0.577301,-0.0039
Hikari,J-LASF010,1.834,37.18,0.5778,-0.0042
Ohara,S-LAH60,1.834,37.2,0.5776,-0.0037
Hoya,NbFD10,1.834,37.34,0.579042,-0.0021
Ohara,L-LAH90,1.8322,40.1,0.5714,-0.0052
Hoya,M-FDS910,1.8212,24.06,0.623791,0.0187
Hikari,Q-LASFH59S,1.821,42.5,0.565,-0.0081
Hoya,M-TAFD51,1.8208,42.71,0.563996,-0.0072
Hoya,TaF5,1.816,46.57,0.555619,-0.0083
Hikari,J-LASF09A,1.816,46.59,0.5566,-0.0096
